;Type;wg2;eu;af;as;au;na;sa;watch;STREMP;wg2_with5min;025_as;025_clima
ng ;int;66896;180721;371410;841703;109084;461694;226852;67420;108113;70412;98126,;281648
ng_land;int;66663;179901;370005;839180;109073;456290;226668;67327;107462;70412;98126;281648
nrow;int;360;641;1090;1258;740;915;824;360;718;360;420;720
ncol;int;720;1000;1237;4320;4309;1519;1356;720;623;720;1440;1440
gcrc_RowCol_tauschen;int;1;0;0;0;0;0;0;1,;0;0;0;0
cellsInOneDegree;double;2;12;12;12;12;12;12;2;12;2;4;4
xllcorner;double;-180;-31.33333;-25.417285;-180;-180;-179.16667;-109.500282;-180;-5.66736473;-180;-180;-180
yllcorner;double;-90;27.41667;-53.250011;-22.916799;-55.16667;6.999748;-56;-90;-3.916902807;-90;-23;-90
cellsize;double;0.5;0.0833333;0.0833333;0.0833333;0.0833333;0.0833333;0.0833333;0.5;0.0833333;0.5;0.25;0.25
cell_;float;2;12;12;12;12;12;12;2;12;2;4;4
corr_row;int;0;110;629;97;1002;81;928;0;409;0;45;0
corr_col;int;0;1784;1855;0;0;10;846;0;2092;0;0;0
double;double;100;100;100;100;100;100;100;100;100;100;100;100
nrow_NetCDF;int;360;641;1090;1258;740;915;824;360;718;360;420;720
ncol_NetCDF;int;720;1000;1237;4320;4309;1519;1356;720;623;720;1440;1440
corr_row_NetCDF;int;0;0;0;0;0;0;0;0;0;0;0;0
corr_col_NetCDF;int;0;0;0;0;0;0;0;0;0;0;0;0
